iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.105385,106.668048,104.247571,101.976945,99.927546,98.192972,96.831236,95.956058,95.591723,95.834959,96.127939,96.257505,95.891759,94.512394,92.207905,88.884085,84.762317,79.973096,74.958278,69.77523,64.880804,60.388789,56.228254,52.512574,49.158882,46.05096,43.128693,40.305376,37.636486,35.077671,32.684176,30.454657,28.324239,26.316238,24.490864,22.880627,21.523393
BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.433911,29.923774,30.394457,30.858539,31.219799,31.468568,31.570281,31.462427,31.202034,30.830155,30.410069,29.942427,29.482019,29.056131,28.691535,28.406669,28.1423,27.791595,27.255305,26.533977,25.632844,24.595274,23.514015,22.431597,21.389105,20.390292,19.445808,18.527352,17.671734,16.931729,16.348987,15.929271,15.663799,15.521509,15.420128,15.292787,15.113515,14.869234,14.542653,14.150262,13.726656,13.293156,12.87487,12.480745,12.116376,11.784733,11.470943,11.162072,10.862977,10.539257,10.234809
BHR,NA,NA,NA,NA,NA,NA,280.200063,257.348984,236.591348,216.914588,198.793688,182.221706,166.263281,151.606475,138.146927,125.488356,113.828968,103.034725,93.100325,84.03687,75.774678,68.358569,61.775047,56.002773,50.988451,46.654874,42.926985,39.676922,36.84877,34.36688,32.200756,30.354247,28.765548,27.357486,26.116435,25.09338,24.289249,23.717362,23.370927,23.167783,22.976332,22.620056,21.987247,20.983978,19.635379,18.116717,16.608186,15.229449,14.087413,13.199385,12.522035,12.010796,11.612894,11.272409,10.952954,10.615341,10.222535,9.791667,9.349762,8.92079,8.533783,8.228906,7.995301,7.826071,7.697788,7.57404,7.431226,7.272313,7.094626
BGD,345.444848,335.103558,325.362668,315.969866,306.845556,298.247095,289.914964,282.038392,274.337025,267.101509,260.240907,253.853485,247.992845,242.580018,237.71237,233.587671,230.215286,227.555897,225.523658,224.103075,223.131357,222.355866,221.537963,220.49168,219.010952,217.021426,214.391046,211.112445,207.315813,203.152262,198.727796,194.119715,189.278035,184.232754,178.915955,173.316644,167.511406,161.622933,155.643148,149.637172,143.660833,137.674852,131.680833,125.659075,119.709073,113.893102,108.18942,102.642558,97.301201,92.191569,87.284917,82.64792,78.197362,73.986059,69.964664,66.118998,62.404907,58.827177,55.413002,52.176992,49.098504,46.182103,43.430364,40.841765,38.397396,36.098251,33.940672,31.936574,30.157008
BRB,NA,NA,NA,NA,168.66931400000001,145.429113,126.411997,111.289173,99.550632,90.617909,83.685176,78.007909,73.050774,68.672197,64.744477,61.22131,58.111402,55.36043,52.789671,50.304301,47.856401,45.447676,43.09948,40.803589,38.568137,36.400916,34.304952,32.275253,30.362291,28.575541,26.956506,25.565542,24.399767,23.41828,22.586768,21.847815,21.136881,20.404123,19.659376,18.886257,18.106215,17.364276,16.675631,16.068791,15.576406,15.20856,14.978084,14.871358,14.878718,14.979495,15.156374,15.364668,15.547177,15.67762,15.715718,15.658762,15.519542,15.324273,15.099555,14.853971,14.620633,14.387333,14.151149,13.883484,13.59331,13.271544,12.925733,12.552691,12.173395
BLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.04705,20.193187000000002,19.423222,18.756022,18.150224,17.574731,17.002521,16.422228,15.867344,15.440564,15.228683,15.217765,15.336702,15.517572,15.656126,15.650229,15.456246,15.058973,14.460413,13.68019,12.750965,11.77204,10.844417,10.010616,9.244676,8.518973,7.82791,7.168847,6.550829,5.996127,5.517491,5.113506,4.777566,4.496315,4.252325,4.032314,3.824923,3.621145,3.420676
BEL,NA,NA,NA,51.288,48.321037,45.478032,42.736845,40.124014,37.714467,35.627811,33.898664,32.431407,31.137609,29.970193,28.904778,27.921244,27.032293,26.248855,25.516033,24.764017,23.931086,22.987593,21.910539,20.760788,19.630788,18.579551,17.610423,16.730186,15.933279,15.204812,14.528682,13.88812,13.272983,12.697591,12.189912,11.760509,11.383073,11.023049,10.67811,10.341033,10.00399,9.633276,9.2072,8.724073,8.194664,7.647485,7.137448,6.705134,6.350375,6.056968,5.810006,5.594192,5.398259,5.222333,5.069391,4.941454,4.830438,4.730407,4.635694,4.546921,4.460721,4.374229,4.285583,4.192127,4.091866,3.985942,3.877609,3.764637,3.651542
BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.472203,105.775581,101.15028,97.062503,93.053136,89.084144,85.435362,81.940007,78.598122,75.462369,72.560969,69.753657,67.058255,64.450521,61.853055,59.31374,56.741666,54.198583,51.536489,48.802096,46.100692,43.394093,40.742225,38.260359,35.942314,33.824957,31.959314,30.331117,28.8939,27.614892,26.469436,25.418367,24.471904,23.60475,22.864465,22.236784,21.71426,21.288397,20.91745,20.588856,20.239345,19.850465,19.415184,18.905506,18.322106,17.65408,16.910514,16.121643,15.322452,14.527914,13.754329,13.011614
BEN,349.397239,345.680444,342.217162,338.899042,335.246686,331.583732,327.796227,324.035536,319.973856,315.563933,310.808243,305.903929,300.912739,295.730616,290.492282,285.161634,280.111163,275.366845,270.826327,266.531164,262.293996,257.974277,253.578529,248.830094,243.983626,238.851405,233.600957,228.369838,223.483619,218.864072,214.535667,210.528134,206.670121,202.955749,199.234458,195.400995,191.481899,187.526422,183.555567,179.506419,175.380425,171.258072,167.166255,163.181744,159.371496,155.770156,152.445724,149.184786,145.91673,142.646223,139.259889,135.905557,132.533622,129.242423,126.134802,123.193265,120.467404,117.923842,115.535598,113.299546,111.115177,108.864985,106.615807,104.356949,102.071424,99.861403,97.64956,95.457118,92.986471
BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.65322,272.238029,264.078629,255.852286,247.667695,239.743224,231.944448,224.310146,216.829229,209.315295,201.730179,194.312405,186.691603,179.556497,172.423694,165.428536,158.647425,152.001744,145.579409,139.289387,133.231802,127.357136,121.72433,116.355883,111.155487,106.058504,101.047903,96.093573,91.23394,86.53054,82.029896,77.697983,73.509797,69.388861,65.43557,61.620476,57.907084,54.427875,51.144716,48.066663,45.151791,42.508849,40.173426,38.108829,36.353202,34.735459,33.293785,31.954089,30.773479,29.699283
