ISO Code;Country Name;Uncertainty bounds*;1950,5;1951,5;1952,5;1953,5;1954,5;1955,5;1956,5;1957,5;1958,5;1959,5;1960,5;1961,5;1962,5;1963,5;1964,5;1965,5;1966,5;1967,5;1968,5;1969,5;1970,5;1971,5;1972,5;1973,5;1974,5;1975,5;1976,5;1977,5;1978,5;1979,5;1980,5;1981,5;1982,5;1983,5;1984,5;1985,5;1986,5;1987,5;1988,5;1989,5;1990,5;1991,5;1992,5;1993,5;1994,5;1995,5;1996,5;1997,5;1998,5;1999,5;2000,5;2001,5;2002,5;2003,5;2004,5;2005,5;2006,5;2007,5;2008,5;2009,5;2010,5;2011,5;2012,5;2013,5;2014,5;2015,5;2016,5;2017,5;2018,5
AND;Andorra;Lower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,574325;6,590225;6,576018;6,543803;6,531782;6,457708;6,387694;6,262886;6,161852;5,98978;5,816219;5,631056;5,465747;5,283109;5,114014;4,950025;4,807856;4,647075;4,499496;4,344715;4,172769;4,004232;3,806785;3,596607;3,367243;3,147107;2,926523;2,695285;2,468656;2,27241;2,082147;1,937584;1,810885;1,696227
AND;Andorra;Median;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,582968;13,716623;12,908323;12,17856;11,460343;10,800906;10,190729;9,626431;9,093302;8,583872;8,111299;7,691703;7,316993;6,974115;6,679565;6,405845;6,157839;5,931791;5,708453;5,494341;5,273603;5,049751;4,83551;4,617973;4,394705;4,181996;3,983726;3,792229;3,608592;3,434117;3,269651;3,135505;3,006443;2,893017
AND;Andorra;Upper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,463287;29,461252;26,069949;23,090833;20,557743;18,520392;16,679549;14,998444;13,690753;12,500084;11,498624;10,67257;9,927469;9,340225;8,796466;8,350037;7,967982;7,591452;7,273915;6,975603;6,661426;6,374706;6,10098;5,889745;5,706812;5,526778;5,414429;5,29372;5,207837;5,161599;5,110569;5,062552;5,024431;4,965261
AGO;Angola;Lower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181,148135;185,310288;188,157819;190,602887;192,435603;193,403246;194,642475;196,115832;196,593489;197,391734;198,341711;198,710829;199,260356;199,258435;199,386566;198,580829;196,979579;194,453402;190,558322;186,098509;180,746503;174,486821;167,746462;159,353801;149,879157;139,356538;128,00794;116,304641;104,979101;93,812374;83,340732;73,374431;64,166827;56,86424;50,985301;46,157928;42,532335;38,935144;36,310847
AGO;Angola;Median;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238,122109;235,581124;232,444664;229,985151;227,94755;226,192844;224,946713;224,101013;223,419086;223,296733;223,405082;223,571931;223,590336;223,687153;223,594401;222,88278;221,291701;218,831792;215,2984;210,871486;205,688525;199,722928;192,597896;184,752379;176,166534;166,791403;157,250939;147,736986;138,25003;129,015012;120,490376;112,501262;104,945195;98,400213;92,939875;88,126981;84,01329;80,441945;77,164501
AGO;Angola;Upper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311,999943;297,456977;286,482148;277,94533;269,97708;264,613088;259,911887;256,23839;253,79926;252,856711;252,040815;251,84982;251,983868;252,13279;252,108296;251,666386;250,162427;247,800075;244,573402;240,69112;235,544405;229,857213;222,82018;215,477528;207,251136;199,610492;191,925257;184,5015;178,461734;172,680721;168,1459;164,346032;160,619506;157,185078;154,238398;151,200167;148,610884;145,77852;144,174602
ATG;Antigua and Barbuda;Lower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,095635;17,277087;17,378767;17,482032;17,592782;17,600777;17,623575;17,516166;17,355511;17,148778;16,879341;16,539456;16,067852;15,493629;14,891905;14,23425;13,567429;12,947572;12,339317;11,748444;11,186471;10,632557;10,065649;9,508894;8,955245;8,408037;7,835296;7,270269;6,737655;6,245405;5,783899;5,366354;4,970166;4,602284
ATG;Antigua and Barbuda;Median;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,976574;35,577929;33,464641;31,509469;29,675654;27,980312;26,387652;24,862368;23,416475;22,088549;20,843793;19,681271;18,593581;17,586737;16,671463;15,827955;15,060617;14,363876;13,730582;13,123221;12,529862;11,936938;11,349901;10,754671;10,169246;9,59057;9,037569;8,51503;8,043254;7,635903;7,286306;6,970962;6,692011;6,441448
ATG;Antigua and Barbuda;Upper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84,637175;73,973939;64,768476;56,929978;50,221168;44,396643;39,463324;35,126936;31,462634;28,39412;25,755254;23,42667;21,524132;19,934623;18,618072;17,557504;16,679875;15,92224;15,244741;14,631958;14,017796;13,408693;12,774109;12,130335;11,523956;10,955755;10,44303;10,029509;9,658699;9,400455;9,195271;9,093609;9,020183;8,97655
ARG;Argentina;Lower;;;;;;;;;;;;;;;;;;;;68,432013;68,882144;67,944714;66,494686;64,7225;62,801786;60,472125;57,5591;54,031587;50,055358;45,940567;42,011684;38,608246;35,839194;33,491722;31,557247;30,024328;29,027741;28,572868;28,371145;28,278845;28,080914;27,599817;26,806763;25,800059;24,746691;23,675281;22,630174;21,682491;20,785111;19,987001;19,248792;18,567995;17,9539;17,35079;16,769656;16,232202;15,770167;15,402873;15,045653;14,646521;14,171636;13,617599;13,018563;12,397004;11,810508;11,252653;10,693809;10,093465;9,456271
